precision,recall,threshold
0.050934880722114766,0.16631578947368422,0.0006536996742634118
0.051532941943900845,0.16631578947368422,0.0006590939492390371
0.051667756703727925,0.16631578947368422,0.0006690347219115606
0.05231788079470199,0.16631578947368422,0.0006710499547625717
0.0531986531986532,0.16631578947368422,0.000676453761506987
0.05323450134770889,0.16631578947368422,0.0006856277213308389
0.05396174863387978,0.16631578947368422,0.0006894583543003892
0.0541838134430727,0.16631578947368422,0.0006986974643354363
0.05444521019986216,0.16631578947368422,0.0007013922589954985
0.05463347164591978,0.16631578947368422,0.0007070627470795519
0.05520614954577219,0.16631578947368422,0.000707858209485439
0.05630791161796151,0.16631578947368422,0.0007117997979791633
0.05667144906743185,0.16631578947368422,0.000724482666173488
0.056998556998557,0.16631578947368422,0.0007268510289962496
0.0577063550036523,0.16631578947368422,0.0007343243755663229
0.058130978660779986,0.16631578947368422,0.0007452464223253784
0.0586053412462908,0.16631578947368422,0.0007486604373428625
0.05886736214605067,0.16631578947368422,0.0007666464785935429
0.05917602996254682,0.16631578947368422,0.0007668869527260196
0.05948795180722891,0.16631578947368422,0.0007696346917158142
0.05993930197268589,0.16631578947368422,0.0007707829271112913
0.05419847328244275,0.14947368421052631,0.0007796430901499308
0.054615384615384614,0.14947368421052631,0.0007859489472128945
0.054826254826254826,0.14947368421052631,0.0007892753463417284
0.05486862442040186,0.14947368421052631,0.0007928827805064842
0.05508145849495733,0.14947368421052631,0.0007933064920595614
0.05533904910366329,0.14947368421052631,0.0007953700763848516
0.05577376276512176,0.14947368421052631,0.0008088311909016575
0.05661881977671451,0.14947368421052631,0.0008153989118171927
0.05675459632294165,0.14947368421052631,0.000827950051434873
0.0568,0.14947368421052631,0.0008297003464315565
0.05684547638110488,0.14947368421052631,0.000834510185089752
0.05725806451612903,0.14947368421052631,0.0008386684233067535
0.05762987012987013,0.14947368421052631,0.0008448093473312342
0.05777054515866558,0.14947368421052631,0.0008654448022705861
0.05887230514096186,0.14947368421052631,0.0008694152253268435
0.058970099667774084,0.14947368421052631,0.0008714565035526594
0.05951383067896061,0.14947368421052631,0.0008806551792801484
0.059915611814345994,0.14947368421052631,0.0008930253884364906
0.06027164685908319,0.14947368421052631,0.000893998786000093
0.06032285471537808,0.14947368421052631,0.0008989335904442167
0.06063193851409052,0.14947368421052631,0.0009005374491593685
0.061049011177987965,0.14947368421052631,0.000915819797064706
0.061418685121107264,0.14947368421052631,0.000937473410244644
0.06222611744084137,0.14947368421052631,0.0009391143518982358
0.06261022927689594,0.14947368421052631,0.0009404627939739143
0.0637915543575921,0.14947368421052631,0.0009437227738885468
0.06586270871985157,0.14947368421052631,0.0009444874207531119
0.06629318394024276,0.14947368421052631,0.0009470996103262706
0.06685499058380415,0.14947368421052631,0.0009527492396827253
0.06768350810295519,0.14947368421052631,0.0009528277020998689
0.06846673095467695,0.14947368421052631,0.0009624970976716744
0.06920077972709551,0.14947368421052631,0.0009666234826289517
0.07015810276679842,0.14947368421052631,0.000977661660710711
0.06831683168316832,0.14526315789473684,0.0009777755767188174
0.06852035749751738,0.14526315789473684,0.0009821560328905686
0.06879361914257229,0.14526315789473684,0.000982980725897858
0.06920762286860582,0.14526315789473684,0.0009867366341378009
0.06962663975782038,0.14526315789473684,0.0010042691352853057
0.06585612968591692,0.1368421052631579,0.0010071433687438972
0.06653019447287616,0.1368421052631579,0.0010246958100246038
0.06666666666666667,0.1368421052631579,0.0010340625788803543
0.06680369989722508,0.1368421052631579,0.0010441337053096402
0.06735751295336788,0.1368421052631579,0.0010460871258516063
0.06756756756756757,0.1368421052631579,0.0010493188971943393
0.06827731092436974,0.1368421052631579,0.0010504334129643154
0.06885593220338983,0.1368421052631579,0.0010584287563952287
0.06937033084311633,0.1368421052631579,0.0010638999595385334
